Kode Barang,Nama Barang,Kategori,Satuan,Harga Beli,Harga Jual,Stok,Stok Minimum,Deskripsi
BRG001,Beras Premium 5kg,Sembako,Karung,45000,50000,100,10,Beras premium kualitas terbaik
BRG002,Minyak Goreng 1L,Sembako,Botol,12000,14000,50,5,Minyak goreng berkualitas
BRG003,Gula Pasir 1kg,Sembako,Kg,13000,15000,75,15,Gula pasir putih bersih
BRG004,Tepung Terigu 1kg,Sembako,Kg,8000,10000,60,20,Tepung terigu protein sedang
BRG005,Kopi Bubuk 200g,Minuman,Bungkus,15000,18000,30,10,Kopi bubuk robusta premium
BRG006,Teh Celup 25 pcs,Minuman,Kotak,8000,10000,40,15,Teh celup rasa original
BRG007,Sabun Mandi 90g,Kebersihan,Pcs,3000,4000,80,25,Sabun mandi antibakteri
BRG008,Shampo 170ml,Kebersihan,Botol,12000,15000,35,10,Shampo anti ketombe
BRG009,Pasta Gigi 120g,Kebersihan,Tube,8000,10000,45,20,Pasta gigi dengan fluoride
BRG010,Deterjen 800g,Kebersihan,Bungkus,10000,12000,25,8,Deterjen bubuk wangi